
[veu-audit] ===== desktop — 133 nós de texto =====
seletor | cor | opacidade | fontSize | fontWeight | ratio | piso | resultado
#cl-hours dd "08:00 – 17:00" | rgb(28,25,23) | 1 | 18px | 400 | 16.38:1 | 4.5:1 | APROVA
#cl-hours dt "Sun" | rgb(28,25,23) | 1 | 18px | 400 | 16.38:1 | 4.5:1 | APROVA
#cl-hours dd "09:00 – 16:00" | rgb(28,25,23) | 1 | 18px | 400 | 16.38:1 | 4.5:1 | APROVA
#cl-hours a "14 Meath Street, Dublin 8, D08 X2N1" | rgb(120,113,108) | 1 | 17px | 400 | 4.53:1 | 4.5:1 | APROVA
#cl-hours a "+353 1 234 5678" | rgb(120,113,108) | 1 | 17px | 400 | 4.29:1 | 4.5:1 | REPROVA
#cl-reviews span "07 · Avaliações" | rgb(120,113,108) | 1 | 13px | 400 | 4.53:1 | 4.5:1 | APROVA
#cl-reviews p "“Best flat white south of the Liffey.”" | rgb(28,25,23) | 1 | 22.4px | 400 | 17.34:1 | 4.5:1 | APROVA
#cl-reviews span "— Aoife" | rgb(120,113,108) | 1 | 14px | 400 | 4.76:1 | 4.5:1 | APROVA
#cl-reviews p "“The kind of café you plan your morning " | rgb(28,25,23) | 1 | 22.4px | 400 | 17.41:1 | 4.5:1 | APROVA
#cl-reviews span "— Marcus" | rgb(120,113,108) | 1 | 14px | 400 | 4.78:1 | 4.5:1 | APROVA
#cl-reviews p "“Quiet, unhurried — exactly what Meath S" | rgb(28,25,23) | 1 | 22.4px | 400 | 17.49:1 | 4.5:1 | APROVA
#cl-reviews span "— Niamh" | rgb(120,113,108) | 1 | 14px | 400 | 4.8:1 | 4.5:1 | APROVA
#cl-reviews p "“Sara pulls the best flat white I've had" | rgb(28,25,23) | 1 | 22.4px | 400 | 17.49:1 | 4.5:1 | APROVA
#cl-reviews span "— Tom" | rgb(120,113,108) | 1 | 14px | 400 | 4.8:1 | 4.5:1 | APROVA
#cl-reviews p "“My laptop and I have unofficially moved" | rgb(28,25,23) | 1 | 22.4px | 400 | 17.49:1 | 4.5:1 | APROVA
#cl-reviews span "— Gráinne" | rgb(120,113,108) | 1 | 14px | 400 | 4.8:1 | 4.5:1 | APROVA
#cl-reviews p "“Small, honest, and the pastries sell ou" | rgb(28,25,23) | 1 | 22.4px | 400 | 17.49:1 | 4.5:1 | APROVA
#cl-reviews span "— Diarmuid" | rgb(120,113,108) | 1 | 14px | 400 | 4.8:1 | 4.5:1 | APROVA
#cl-reviews p "“Best flat white south of the Liffey.”" | rgb(28,25,23) | 1 | 22.4px | 400 | 17.49:1 | 4.5:1 | APROVA
#cl-reviews span "— Aoife" | rgb(120,113,108) | 1 | 14px | 400 | 4.8:1 | 4.5:1 | APROVA
#cl-reviews p "“The kind of café you plan your morning " | rgb(28,25,23) | 1 | 22.4px | 400 | 17.49:1 | 4.5:1 | APROVA
#cl-reviews span "— Marcus" | rgb(120,113,108) | 1 | 14px | 400 | 4.8:1 | 4.5:1 | APROVA
#cl-reviews p "“Quiet, unhurried — exactly what Meath S" | rgb(28,25,23) | 1 | 22.4px | 400 | 17.49:1 | 4.5:1 | APROVA
#cl-reviews span "— Niamh" | rgb(120,113,108) | 1 | 14px | 400 | 4.8:1 | 4.5:1 | APROVA
#cl-reviews p "“Sara pulls the best flat white I've had" | rgb(28,25,23) | 1 | 22.4px | 400 | 17.49:1 | 4.5:1 | APROVA
#cl-reviews span "— Tom" | rgb(120,113,108) | 1 | 14px | 400 | 4.8:1 | 4.5:1 | APROVA
#cl-reviews p "“My laptop and I have unofficially moved" | rgb(28,25,23) | 1 | 22.4px | 400 | 17.49:1 | 4.5:1 | APROVA
#cl-reviews span "— Gráinne" | rgb(120,113,108) | 1 | 14px | 400 | 4.8:1 | 4.5:1 | APROVA
#cl-reviews p "“Small, honest, and the pastries sell ou" | rgb(28,25,23) | 1 | 22.4px | 400 | 17.49:1 | 4.5:1 | APROVA
#cl-reviews span "— Diarmuid" | rgb(120,113,108) | 1 | 14px | 400 | 4.8:1 | 4.5:1 | APROVA
#cl-footer span "CAFÉ LISBOA · MEATH STREET · DUBLIN 8 · " | rgb(28,25,23) | 1 | 31.2px | 600 | 15.83:1 | 3:1 | APROVA
#cl-footer span "CAFÉ LISBOA · MEATH STREET · DUBLIN 8 · " | rgb(28,25,23) | 1 | 31.2px | 600 | 15.83:1 | 3:1 | APROVA
#cl-footer h2 "Café Lisboa" | rgb(250,248,245) | 1 | 32px | 400 | 16.5:1 | 3:1 | APROVA
#cl-footer a "@cafelisboa_dublin" | rgb(245,240,232) | 1 | 19px | 400 | 14.13:1 | 4.5:1 | APROVA
#cl-footer a "+353 1 234 5678" | rgb(245,240,232) | 1 | 19px | 400 | 14.09:1 | 4.5:1 | APROVA
#cl-footer a "14 Meath Street, Dublin 8, D08 X2N1" | rgb(245,240,232) | 1 | 19px | 400 | 14.13:1 | 4.5:1 | APROVA
#cl-footer p "Prices include VAT · Est. 2019" | rgb(138,131,120) | 1 | 13px | 400 | 4.66:1 | 4.5:1 | APROVA
#cl-footer div "© Café Lisboa" | rgb(110,102,86) | 1 | 12px | 400 | 3.08:1 | 4.5:1 | REPROVA

[veu-audit] total REPROVA: 36
  - [desktop] #cl-manifesto div "EST. 2019": 4.47:1 (piso 4.5:1)
  - [desktop] #cl-menu span "01": 2.88:1 (piso 4.5:1)
  - [desktop] #cl-menu span "02": 2.88:1 (piso 4.5:1)
  - [desktop] #cl-menu span "03": 2.88:1 (piso 4.5:1)
  - [desktop] #cl-menu span "04": 2.88:1 (piso 4.5:1)
  - [desktop] #cl-menu span "05": 2.88:1 (piso 4.5:1)
  - [desktop] #cl-menu span "06": 2.88:1 (piso 4.5:1)
  - [desktop] #cl-menu span "07": 2.88:1 (piso 4.5:1)
  - [desktop] #cl-menu span "08": 2.88:1 (piso 4.5:1)
  - [desktop] #cl-footer div "© Café Lisboa": 3.03:1 (piso 4.5:1)
  - [mobile] #cl-manifesto div "EST. 2019": 4.44:1 (piso 4.5:1)
  - [mobile] #cl-menu span "01": 2.38:1 (piso 4.5:1)
  - [mobile] #cl-menu span "02": 2.38:1 (piso 4.5:1)
  - [mobile] #cl-menu span "03": 2.38:1 (piso 4.5:1)
  - [mobile] #cl-menu span "04": 2.38:1 (piso 4.5:1)
  - [mobile] #cl-menu span "05": 2.38:1 (piso 4.5:1)
  - [mobile] #cl-menu span "06": 2.38:1 (piso 4.5:1)
  - [mobile] #cl-menu span "07": 2.38:1 (piso 4.5:1)
  - [mobile] #cl-menu span "08": 2.38:1 (piso 4.5:1)
  - [mobile] #cl-build-yours button "Flat white": 3.68:1 (piso 4.5:1)
  - [mobile] #cl-build-yours button "Cappuccino": 4.18:1 (piso 4.5:1)
  - [mobile] #cl-build-yours button "Americano": 4.21:1 (piso 4.5:1)
  - [mobile] #cl-build-yours button "Cortado": 4.32:1 (piso 4.5:1)
  - [mobile] #cl-build-yours button "Mocha": 4.31:1 (piso 4.5:1)
  - [mobile] #cl-build-yours button "Espresso": 4.32:1 (piso 4.5:1)
  - [mobile] #cl-build-yours button "Regular": 3.71:1 (piso 4.5:1)
  - [mobile] #cl-build-yours button "Large": 4.31:1 (piso 4.5:1)
  - [mobile] #cl-build-yours button "None": 3.72:1 (piso 4.5:1)
  - [mobile] #cl-build-yours button "Extra shot": 4.3:1 (piso 4.5:1)
  - [mobile] #cl-build-yours button "Oat": 4.32:1 (piso 4.5:1)
  - [mobile] #cl-build-yours span "Flat white · Regular": 2.26:1 (piso 4.5:1)
  - [mobile] #cl-build-yours a "Get directions →": 4.16:1 (piso 4.5:1)
  - [mobile] #cl-hours span "06 · Horários + Localização": 2.29:1 (piso 4.5:1)
  - [mobile] #cl-hours span "Open in Maps →": 2.08:1 (piso 4.5:1)
  - [mobile] #cl-hours a "+353 1 234 5678": 4.29:1 (piso 4.5:1)
  - [mobile] #cl-footer div "© Café Lisboa": 3.08:1 (piso 4.5:1)
